,LLAVEMOD,SEXO,SEXO_HM,EDAD_V,NIV,NIVED_T,REGION,REGION_T,TLOC,p461,p462,p463,p464,p465,p466,p461_t,p462_t,p463_t,p464_t,p465_t,p466_t,t46_calif
11300,1113603103,1,M,32,8,Undergraduate,5,South/East,1,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
11301,1113712102,2,F,44,3,Basic,6,South,2,1,1,1,1,1,1,Always,Always,Always,Always,Always,Always,9.166666666666666
11302,1113802102,2,F,59,10,Graduate,2,Northeast,1,1,1,2,3,2,1,Always,Always,Sometimes,Never,Sometimes,Always,8.333333333333334
11303,1113905102,2,F,54,3,Basic,5,South/East,4,1,1,3,2,3,2,Always,Always,Never,Sometimes,Never,Sometimes,8.333333333333334
11304,1114002101,1,M,50,6,high School,6,South,1,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
11306,1114217101,1,M,39,3,Basic,2,Northeast,2,1,1,1,3,3,3,Always,Always,Always,Never,Never,Never,6.666666666666666
11307,1114305101,1,M,33,8,Undergraduate,3,Bajío,1,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
11308,1114402102,1,M,19,3,Basic,1,Northwest,1,1,1,1,1,3,3,Always,Always,Always,Always,Never,Never,7.5
11309,1114501101,1,M,53,3,Basic,1,Northwest,1,1,1,1,3,3,2,Always,Always,Always,Never,Never,Sometimes,7.083333333333333
11310,1114602102,2,F,31,3,Basic,2,Northeast,2,2,1,3,2,2,2,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,8.333333333333334
11311,1114702101,2,F,55,3,Basic,6,South,1,1,1,1,1,1,1,Always,Always,Always,Always,Always,Always,9.166666666666666
11312,1114702201,2,F,36,6,high School,6,South,1,1,1,3,1,1,3,Always,Always,Never,Always,Always,Never,9.166666666666666
11313,1114803101,2,F,76,8,Undergraduate,6,South,3,1,1,2,2,3,3,Always,Always,Sometimes,Sometimes,Never,Never,7.5
11314,1114907101,2,F,23,2,Basic,5,South/East,4,1,1,2,3,1,3,Always,Always,Sometimes,Never,Always,Never,7.916666666666666
11315,1115005101,2,F,23,6,high School,3,Bajío,2,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
11316,1115115101,2,F,35,3,Basic,6,South,4,2,1,2,2,2,3,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,7.5
11317,1115203102,2,F,27,6,high School,3,Bajío,3,1,1,2,2,2,3,Always,Always,Sometimes,Sometimes,Sometimes,Never,7.916666666666666
11318,1115301101,2,F,36,8,Undergraduate,1,Northwest,1,2,1,1,1,2,2,Sometimes,Always,Always,Always,Sometimes,Sometimes,7.916666666666666
11319,1115408101,2,F,28,6,high School,5,South/East,4,1,2,3,2,2,3,Always,Sometimes,Never,Sometimes,Sometimes,Never,7.916666666666666
11320,1115503102,2,F,22,3,Basic,6,South,1,2,2,3,3,2,3,Sometimes,Sometimes,Never,Never,Sometimes,Never,7.083333333333333
11321,1115611101,2,F,47,3,Basic,3,Bajío,3,1,1,2,3,1,3,Always,Always,Sometimes,Never,Always,Never,7.916666666666666
11322,1115705102,2,F,37,8,Undergraduate,1,Northwest,1,2,1,2,2,2,1,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,8.333333333333334
11323,1115811103,2,F,23,6,high School,2,Northeast,4,1,2,2,1,2,2,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,8.333333333333334
11324,1115906103,2,F,19,8,Undergraduate,6,South,4,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
11325,1116011101,2,F,53,2,Basic,2,Northeast,3,1,2,2,3,3,3,Always,Sometimes,Sometimes,Never,Never,Never,6.666666666666666
11326,1116102101,1,M,30,8,Undergraduate,1,Northwest,1,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
11327,1116203103,1,M,53,8,Undergraduate,6,South,1,1,1,2,1,2,1,Always,Always,Sometimes,Always,Sometimes,Always,9.166666666666666
11328,1116308101,1,M,66,0,No studies,6,South,4,3,3,1,3,2,3,Never,Never,Always,Never,Sometimes,Never,5.416666666666666
11329,1116401101,2,F,63,2,Basic,1,Northwest,1,2,1,1,3,2,3,Sometimes,Always,Always,Never,Sometimes,Never,6.666666666666666
11330,1116512102,2,F,72,2,Basic,1,Northwest,4,1,1,2,3,2,3,Always,Always,Sometimes,Never,Sometimes,Never,7.5
11331,1116604101,1,M,33,6,high School,2,Northeast,1,2,2,1,2,3,2,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,6.666666666666666
11332,1116702102,2,F,58,6,high School,6,South,1,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
11333,1116802103,1,M,18,6,high School,1,Northwest,1,1,1,2,2,2,1,Always,Always,Sometimes,Sometimes,Sometimes,Always,8.75
11334,1116920108,2,F,55,3,Basic,3,Bajío,4,2,2,3,2,2,3,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,7.5
11335,1117016101,2,F,55,2,Basic,5,South/East,3,2,2,3,3,3,3,Sometimes,Sometimes,Never,Never,Never,Never,6.666666666666666
11336,1117120106,2,F,23,3,Basic,2,Northeast,3,1,1,2,2,2,3,Always,Always,Sometimes,Sometimes,Sometimes,Never,7.916666666666666
11337,1117202101,2,F,33,3,Basic,6,South,4,1,1,1,1,1,1,Always,Always,Always,Always,Always,Always,9.166666666666666
11338,1117302104,1,M,31,8,Undergraduate,3,Bajío,1,1,1,2,1,1,1,Always,Always,Sometimes,Always,Always,Always,9.583333333333334
